Từ	Nghĩa
Abao (dt)	Ốc bươu.  
Abăn (dt)	Cái chăn (mền). Msăm abăn: đăp chăn; Abăn hmlei: Chăn bông.
Abŭ (dt)	Cái hũ.
Adei (dt)	Em. 
Adĕ (dt)	Hến. 
Adham (dt)	Một nhóm trong tộc người Êđê.
Adhan (dt)	Cành. Adhan kyâo: Cành cây.
Adhei (dt)	Trán. Adhei: Trán rộng.             
Adiê (dt)	Trời. Adiê hjan: Trời mưa.
Adiê không	Năng hạn.
Adiê tlam	Xế chiều.
Adih (đt)	Kia. Sang kâo ti anôk adih: Nhà tôi chỗ kia; Hruê aguah 
	Adih kâo đue# hiu: Sáng ngày kia tôi đi chơi.  
Adôk (đgt)	Còn. Kâo adôk prăk: Tôi còn tiền; Adôk hdyøp: Còn sống.
Adrăng (dt)	Rơm rạ. Mkăm adrăng: đống rơm.
Adring (dt)	Hiên nhà sàn. Amyø kâo [hu mdiê ti adring: Mẹ tôi phơi luôa ở hiên nhà sàn.
Adrŏk (dt)	Con cóc.
Aduôn (dt)	Bà (nội
Adŭ (dt)	1.Phòng. Adu\ pyøt: Phòng ngủ; Adu\ hriăm: Phòng học. 
	2. Lớp. Adu\ năm: Lớp 6; Adu\ pluh dua: Lớp 12. 
	3. Cái ô. Adu\ ju\: eø màu đen.
Adŭ bruă (dt)	Văn phòng.
Adŭ gĭt gai bruă kiă kriê (dt) 	 Phòng hành chính.
Adŭ tĭng yap (dt)	Phòng kế tín.
Adŭng (dt)	Mũi. {ăng adu\ng: Lỗ mũi.
Aê (dt)	Eøng (nội
Aê êa drao (dt)	Bác sĩ. Aê êa drao jing pô mdrao klei ruă kơ jih jang mnuih: Bác sĩ là người chữa bệnh cho mọi người.
Agam (tt)	Loạn luân. Klei ngă agam jing soh ho\ng klei bhiăn anak Êđê: Loạn luân là hành động vi phạm phong tục của người Êđê.
Agha (dt)	Rễ. Agha kram: Rễ tre.
Aguah (trạng từ)	Buổi sáng. Aguah ưm: Sáng sớm; Aguah mgi: Sáng mai; Aguah mbruê: Sáng hôm qua. 
Aguăt (dt)	Con bọ cạp. Aguăt du\] ruă snăk: Bọ cạp đốt rất đau.
Ah (hư từ)              	Ạ. Kâo thâo klei soh leh amyø ah: con biết lỗi rồi mẹ ạ.
Ai (dt)	Sức. Ai ktang: Sức mạnh.
Ai hriăm (dt)	Học lực.
Ai êwa (dt) (tt)	Khí thế
Ai mĭn (đgt)	Suy nghĩ. Tui si ai kâo myøn: Theo tôi nghĩ.
